Time [ms],Date,Time,Rel.Time [s],Infinity|RESP.RR [BREATHS_PER_MIN],Infinity|ECG.PVC_RATE [BEATS_PER_MIN],Infinity|ECG.ST_LEAD_DERIVED_V5 [MM],Infinity|ECG.ST_LEAD_DERIVED_V2 [MM],Infinity|ECG.HR [BEATS_PER_MIN],Infinity|ECG.PP [PERCENT],Infinity|ECG.ARR [BEATS_PER_MIN],Infinity|NIBP.SYSTOLIC [MMHG],Infinity|NIBP.MEAN [MMHG],Infinity|NIBP.DIASTOLIC [MMHG],Infinity|SPO2.Pr [BEATS_PER_MIN],Infinity|SPO2.SATURATION [PERCENT]
1642287231549,2022-01-15,23:53:51.549,79,,,,,,,,,,1.0000,169.0000,99.0000
1642287232564,2022-01-15,23:53:52.564,80,71.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287233533,2022-01-15,23:53:53.533,81,58.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287234533,2022-01-15,23:53:54.533,82,58.0000,1.0000,0.1000,0.1000,168.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287235564,2022-01-15,23:53:55.564,83,60.0000,1.0000,0.1000,0.1000,168.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287236532,2022-01-15,23:53:56.532,84,60.0000,1.0000,0.1000,0.1000,166.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287237532,2022-01-15,23:53:57.532,85,53.0000,1.0000,0.1000,0.1000,166.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287238563,2022-01-15,23:53:58.563,86,53.0000,1.0000,0.1000,0.1000,166.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287239547,2022-01-15,23:53:59.547,87,53.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,168.0000,99.0000
1642287240547,2022-01-15,23:54:00.547,88,53.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,168.0000,99.0000
